C0 (2602 genes)	C1 (2342 genes)	C2 (2363 genes)
MmuEX6052932	MmuEX6078131	MmuEX6075490
MmuEX6052935	MmuEX6078278	MmuEX6075598
MmuEX6052963	MmuEX6078456	MmuEX6075982
MmuEX6053172	MmuEX6078528	MmuEX6076320
MmuEX6053173	MmuEX6078576	MmuEX6076424
MmuEX6053356	MmuEX6078600	MmuEX6076461
MmuEX6053607	MmuEX6078836	MmuEX6076463
MmuEX6053723	MmuEX6078938	MmuEX6076540
MmuEX6053862	MmuEX6079300	MmuEX6076544
MmuEX6053889	MmuEX6079301	MmuEX6076926
MmuEX6054100	MmuEX6079777	MmuEX6077365
MmuEX6054133	MmuEX6080350	MmuEX6077445
MmuEX6054166	MmuEX6080351	MmuEX6077446
MmuEX6054305	MmuEX6080356	MmuEX6077560
MmuEX6054308	MmuEX6080391	MmuEX6077670
MmuEX6054448	MmuEX6080410	MmuEX6077899
MmuEX6054593	MmuEX6080481	MmuEX6077937
MmuEX6054627	MmuEX6080573	MmuEX6078074
MmuEX6054641	MmuEX6080574	MmuEX6078078
MmuEX6054975	MmuEX6080665	MmuEX6078088
MmuEX6055233	MmuEX6080688	MmuEX6078334
MmuEX6055253	MmuEX6080720	MmuEX6078566
MmuEX6055303	MmuEX6080812	MmuEX6078618
MmuEX6055328	MmuEX6080986	MmuEX6078693
MmuEX6055329	MmuEX6081252	MmuEX6078758
MmuEX6055330	MmuEX6081260	MmuEX6078892
MmuEX6055334	MmuEX6081317	MmuEX6078935
MmuEX6055539	MmuEX6081392	MmuEX6079059
MmuEX6055541	MmuEX6081393	MmuEX6079166
MmuEX6055628	MmuEX6081500	MmuEX6079167
MmuEX6055629	MmuEX6081563	MmuEX6079168
MmuEX6055702	MmuEX6081960	MmuEX6079226
MmuEX6055954	MmuEX6081970	MmuEX6079418
MmuEX6056032	MmuEX6082048	MmuEX6079442
MmuEX6056364	MmuEX6082347	MmuEX6079571
MmuEX6056522	MmuEX6082356	MmuEX6079647
MmuEX6056798	MmuEX6082379	MmuEX6079652
MmuEX6056844	MmuEX6082448	MmuEX6079776
MmuEX6056891	MmuEX6082466	MmuEX6079862
MmuEX6056925	MmuEX6082474	MmuEX6079882
MmuEX6056943	MmuEX6082475	MmuEX6079937
MmuEX6057033	MmuEX6082609	MmuEX6079950
MmuEX6057118	MmuEX6082619	MmuEX6080321
MmuEX6057300	MmuEX6082621	MmuEX6080626
MmuEX6057608	MmuEX6082766	MmuEX6080643
MmuEX6057936	MmuEX6082788	MmuEX6080824
MmuEX6057951	MmuEX6082918	MmuEX6080852
MmuEX6058080	MmuEX6083088	MmuEX6081034
MmuEX6058128	MmuEX6083094	MmuEX6081092
MmuEX6058351	MmuEX6083110	MmuEX6081126
MmuEX6058666	MmuEX6083185	MmuEX6081239
MmuEX6058687	MmuEX6083266	MmuEX6081297
MmuEX6058801	MmuEX6083330	MmuEX6081324
MmuEX6058814	MmuEX6083331	MmuEX6081427
MmuEX6058992	MmuEX6083334	MmuEX6081540
MmuEX6058999	MmuEX6083374	MmuEX6081579
MmuEX6059032	MmuEX6083506	MmuEX6081678
MmuEX6059191	MmuEX6083516	MmuEX6081859
MmuEX6059320	MmuEX6083522	MmuEX6081860
MmuEX6059513	MmuEX6083732	MmuEX6081885
MmuEX6059615	MmuEX6083733	MmuEX6081939
MmuEX6059838	MmuEX6083879	MmuEX6081943
MmuEX6059914	MmuEX6084129	MmuEX6081961
MmuEX6059924	MmuEX6084202	MmuEX6082024
MmuEX6059932	MmuEX6084232	MmuEX6082062
MmuEX6060003	MmuEX6084369	MmuEX6082135
MmuEX6060025	MmuEX6084464	MmuEX6082297
MmuEX6060076	MmuEX6084729	MmuEX6082359
MmuEX6060086	MmuEX6084822	MmuEX6082368
MmuEX6060087	MmuEX6084825	MmuEX6082391
MmuEX6060383	MmuEX6084979	MmuEX6082442
MmuEX6060726	MmuEX6084981	MmuEX6082624
MmuEX6060763	MmuEX6084993	MmuEX6082761
MmuEX6060852	MmuEX6085135	MmuEX6082841
MmuEX6061105	MmuEX6085515	MmuEX6083101
MmuEX6061129	MmuEX6085951	MmuEX6083125
MmuEX6061138	MmuEX6085982	MmuEX6083127
MmuEX6061159	MmuEX6086119	MmuEX6083146
MmuEX6061350	MmuEX6086145	MmuEX6083225
MmuEX6061464	MmuEX6086188	MmuEX6083337
MmuEX6061476	MmuEX6086194	MmuEX6083503
MmuEX6061495	MmuEX6086568	MmuEX6083509
MmuEX6061720	MmuEX6086952	MmuEX6083727
MmuEX6061721	MmuEX6087468	MmuEX6083728
MmuEX6061842	MmuEX6087519	MmuEX6083794
MmuEX6061935	MmuEX6087594	MmuEX6083876
MmuEX6062101	MmuEX6087609	MmuEX6084088
MmuEX6062232	MmuEX6087636	MmuEX6084137
MmuEX6062428	MmuEX6087741	MmuEX6084138
MmuEX6062464	MmuEX6087955	MmuEX6084163
MmuEX6062727	MmuEX6088069	MmuEX6084314
MmuEX6062981	MmuEX6088519	MmuEX6084325
MmuEX6063256	MmuEX6088542	MmuEX6084408
MmuEX6063267	MmuEX6088572	MmuEX6084578
MmuEX6063442	MmuEX6088619	MmuEX6084579
MmuEX6063578	MmuEX6088644	MmuEX6084612
MmuEX6063592	MmuEX6088647	MmuEX6084776
MmuEX6064000	MmuEX6088649	MmuEX6084907
MmuEX6064057	MmuEX6088801	MmuEX6084977
MmuEX6064111	MmuEX6088818	MmuEX6085140
MmuEX6064352	MmuEX6088856	MmuEX6085319
MmuEX6064384	MmuEX6089045	MmuEX6085358
MmuEX6064396	MmuEX6089133	MmuEX6085473
MmuEX6064557	MmuEX6089343	MmuEX6085802
MmuEX6064644	MmuEX6089774	MmuEX6085829
MmuEX6064646	MmuEX6089789	MmuEX6086405
MmuEX6064833	MmuEX6089870	MmuEX6086408
MmuEX6064961	MmuEX6089892	MmuEX6086569
MmuEX6064963	MmuEX6089893	MmuEX6087070
MmuEX6065380	MmuEX6089894	MmuEX6087368
MmuEX6065382	MmuEX6089921	MmuEX6087476
MmuEX6065423	MmuEX6089973	MmuEX6087478
MmuEX6065572	MmuEX6090182	MmuEX6087606
MmuEX6065665	MmuEX6090327	MmuEX6087631
MmuEX6065692	MmuEX6090479	MmuEX6087740
MmuEX6065945	MmuEX6090492	MmuEX6087810
MmuEX6066033	MmuEX6090586	MmuEX6088077
MmuEX6066092	MmuEX6090632	MmuEX6088079
MmuEX6066093	MmuEX6091267	MmuEX6088122
MmuEX6066094	MmuEX6091363	MmuEX6088318
MmuEX6066095	MmuEX6091369	MmuEX6088355
MmuEX6066119	MmuEX6091375	MmuEX6088409
MmuEX6066333	MmuEX6091464	MmuEX6088474
MmuEX6066485	MmuEX6091747	MmuEX6088585
MmuEX6066510	MmuEX6091883	MmuEX6088593
MmuEX6066621	MmuEX6091923	MmuEX6088595
MmuEX6066622	MmuEX6091942	MmuEX6088815
MmuEX6066677	MmuEX6091946	MmuEX6088829
MmuEX6066791	MmuEX6091999	MmuEX6089068
MmuEX6066794	MmuEX6092213	MmuEX6089224
MmuEX6066795	MmuEX6092389	MmuEX6089718
MmuEX6067108	MmuEX6092390	MmuEX6089931
MmuEX6067125	MmuEX6092422	MmuEX6089939
MmuEX6067136	MmuEX6092423	MmuEX6089949
MmuEX6067298	MmuEX6092464	MmuEX6090112
MmuEX6067306	MmuEX6092530	MmuEX6090183
MmuEX6067321	MmuEX6092589	MmuEX6090330
MmuEX6067379	MmuEX6092650	MmuEX6090475
MmuEX6067394	MmuEX6092710	MmuEX6090509
MmuEX6067417	MmuEX6092761	MmuEX6090599
MmuEX6067521	MmuEX6092833	MmuEX6090628
MmuEX6067621	MmuEX6092893	MmuEX6090637
MmuEX6067768	MmuEX6092894	MmuEX6090638
MmuEX6067773	MmuEX6093049	MmuEX6090670
MmuEX6068010	MmuEX6093134	MmuEX6090773
MmuEX6068043	MmuEX6093255	MmuEX6091272
MmuEX6068079	MmuEX6093398	MmuEX6091281
MmuEX6068466	MmuEX6093604	MmuEX6091520
MmuEX6068562	MmuEX6094349	MmuEX6091919
MmuEX6068791	MmuEX6094501	MmuEX6091922
MmuEX6068943	MmuEX6094502	MmuEX6091933
MmuEX6069324	MmuEX6094862	MmuEX6092015
MmuEX6069454	MmuEX6094875	MmuEX6092097
MmuEX6069561	MmuEX6094976	MmuEX6092102
MmuEX6069619	MmuEX6095064	MmuEX6092252
MmuEX6069881	MmuEX6095088	MmuEX6092298
MmuEX6069886	MmuEX6095314	MmuEX6092299
MmuEX6070008	MmuEX6095371	MmuEX6092315
MmuEX6070016	MmuEX6095423	MmuEX6092316
MmuEX6070022	MmuEX6095445	MmuEX6092317
MmuEX6070068	MmuEX6095475	MmuEX6092318
MmuEX6070098	MmuEX6095477	MmuEX6092319
MmuEX6070116	MmuEX6095587	MmuEX6092322
MmuEX6070227	MmuEX6095726	MmuEX6092350
MmuEX6070354	MmuEX6095742	MmuEX6092428
MmuEX6070357	MmuEX6095744	MmuEX6092572
MmuEX6070360	MmuEX6095779	MmuEX6092685
MmuEX6070361	MmuEX6095943	MmuEX6092701
MmuEX6070390	MmuEX6095945	MmuEX6092714
MmuEX6070391	MmuEX6096452	MmuEX6092719
MmuEX6070520	MmuEX6096513	MmuEX6092766
MmuEX6070644	MmuEX6096526	MmuEX6092792
MmuEX6070806	MmuEX6096539	MmuEX6092923
MmuEX6070890	MmuEX6096612	MmuEX6093182
MmuEX6070968	MmuEX6096613	MmuEX6093377
MmuEX6071321	MmuEX6096663	MmuEX6093515
MmuEX6071670	MmuEX6096683	MmuEX6093516
MmuEX6071671	MmuEX6096797	MmuEX6093517
MmuEX6071773	MmuEX6096908	MmuEX6093694
MmuEX6071856	MmuEX6096954	MmuEX6094283
MmuEX6071907	MmuEX6097109	MmuEX6094287
MmuEX6072041	MmuEX6097166	MmuEX6094328
MmuEX6072101	MmuEX6097176	MmuEX6094589
MmuEX6072493	MmuEX6097229	MmuEX6094687
MmuEX6072512	MmuEX6097245	MmuEX6094722
MmuEX6072523	MmuEX6097366	MmuEX6094827
MmuEX6072746	MmuEX6097367	MmuEX6094843
MmuEX6072939	MmuEX6097459	MmuEX6094879
MmuEX6073010	MmuEX6097516	MmuEX6094882
MmuEX6073020	MmuEX6097518	MmuEX6095065
MmuEX6073221	MmuEX6097925	MmuEX6095093
MmuEX6073283	MmuEX6097926	MmuEX6095094
MmuEX6073631	MmuEX6097927	MmuEX6095217
MmuEX6073684	MmuEX6097983	MmuEX6095296
MmuEX6073847	MmuEX6098034	MmuEX6095431
MmuEX6074097	MmuEX6098050	MmuEX6095607
MmuEX6074180	MmuEX6098198	MmuEX6095724
MmuEX6074286	MmuEX6098335	MmuEX6095725
MmuEX6074484	MmuEX6098540	MmuEX6095729
MmuEX6074538	MmuEX6098541	MmuEX6095927
MmuEX6074680	MmuEX6098548	MmuEX6095946
MmuEX6074740	MmuEX6098608	MmuEX6095952
MmuEX6074743	MmuEX6098609	MmuEX6096131
MmuEX6074754	MmuEX6098702	MmuEX6096317
MmuEX6074883	MmuEX6098703	MmuEX6096511
MmuEX6074894	MmuEX6098800	MmuEX6096527
MmuEX6074904	MmuEX6098837	MmuEX6096665
MmuEX6074906	MmuEX6099104	MmuEX6096666
MmuEX6074981	MmuEX6099259	MmuEX6096694
MmuEX6075095	MmuEX6099265	MmuEX6096695
MmuEX6075228	MmuEX6099378	MmuEX6096759
MmuEX6075230	MmuEX6099383	MmuEX6096946
MmuEX6075272	MmuEX6099735	MmuEX6097129
MmuEX6075334	MmuEX6099895	MmuEX6097130
MmuEX6075690	MmuEX6100154	MmuEX6097458
MmuEX6075831	MmuEX6100171	MmuEX6097634
MmuEX6075887	MmuEX6100290	MmuEX6097684
MmuEX6075999	MmuEX6100307	MmuEX6097685
MmuEX6076007	MmuEX6100327	MmuEX6097793
MmuEX6076080	MmuEX6100426	MmuEX6097885
MmuEX6076187	MmuEX6100631	MmuEX6097941
MmuEX6076189	MmuEX6100693	MmuEX6097982
MmuEX6076190	MmuEX6100853	MmuEX6097984
MmuEX6076192	MmuEX6100872	MmuEX6098124
MmuEX6076542	MmuEX6100885	MmuEX6098240
MmuEX6076756	MmuEX6101103	MmuEX6098241
MmuEX6076886	MmuEX6101120	MmuEX6098348
MmuEX6076933	MmuEX6101124	MmuEX6098364
MmuEX6077159	MmuEX6101565	MmuEX6098719
MmuEX6077222	MmuEX6102082	MmuEX6098918
MmuEX6077377	MmuEX6102104	MmuEX6098920
MmuEX6077598	MmuEX6102210	MmuEX6098960
MmuEX6077994	MmuEX6102233	MmuEX6099125
MmuEX6078331	MmuEX6102493	MmuEX6099201
MmuEX6078519	MmuEX6102676	MmuEX6099382
MmuEX6078560	MmuEX6102789	MmuEX6099878
MmuEX6078898	MmuEX6102810	MmuEX6100021
MmuEX6079021	MmuEX6102820	MmuEX6100132
MmuEX6079022	MmuEX6102906	MmuEX6100156
MmuEX6079023	MmuEX6102982	MmuEX6100189
MmuEX6079024	MmuEX6102984	MmuEX6100279
MmuEX6079025	MmuEX6102986	MmuEX6100512
MmuEX6079178	MmuEX6103172	MmuEX6100520
MmuEX6079200	MmuEX6103356	MmuEX6100597
MmuEX6079379	MmuEX6103576	MmuEX6100600
MmuEX6079540	MmuEX6103797	MmuEX6100833
MmuEX6079643	MmuEX6103845	MmuEX6101166
MmuEX6079655	MmuEX6103879	MmuEX6101173
MmuEX6079657	MmuEX6103946	MmuEX6101370
MmuEX6079663	MmuEX6103950	MmuEX6101564
MmuEX6079665	MmuEX6104277	MmuEX6101831
MmuEX6079676	MmuEX6104687	MmuEX6102087
MmuEX6079684	MmuEX6104763	MmuEX6102160
MmuEX6079749	MmuEX6104780	MmuEX6102161
MmuEX6079796	MmuEX6104818	MmuEX6102162
MmuEX6079845	MmuEX6104861	MmuEX6102221
MmuEX6079964	MmuEX6104866	MmuEX6102222
MmuEX6080176	MmuEX6104883	MmuEX6102700
MmuEX6080328	MmuEX6104928	MmuEX6102784
MmuEX6080380	MmuEX6104947	MmuEX6103041
MmuEX6080387	MmuEX6104995	MmuEX6103197
MmuEX6080394	MmuEX6105324	MmuEX6103295
MmuEX6080404	MmuEX6105360	MmuEX6103667
MmuEX6080416	MmuEX6105546	MmuEX6103668
MmuEX6080486	MmuEX6105610	MmuEX6103873
MmuEX6080602	MmuEX6105659	MmuEX6103900
MmuEX6080603	MmuEX6105796	MmuEX6104276
MmuEX6080667	MmuEX6105906	MmuEX6104677
MmuEX6080808	MmuEX6106178	MmuEX6104678
MmuEX6080887	MmuEX6106186	MmuEX6104830
MmuEX6081157	MmuEX6106262	MmuEX6104938
MmuEX6081210	MmuEX6106263	MmuEX6105077
MmuEX6081216	MmuEX6106385	MmuEX6105088
MmuEX6081217	MmuEX6106521	MmuEX6105163
MmuEX6081316	MmuEX6106522	MmuEX6105214
MmuEX6081329	MmuEX6106523	MmuEX6105474
MmuEX6081338	MmuEX6106524	MmuEX6105484
MmuEX6081365	MmuEX6106525	MmuEX6105675
MmuEX6081537	MmuEX6106527	MmuEX6105678
MmuEX6081686	MmuEX6106806	MmuEX6105746
MmuEX6081776	MmuEX6107211	MmuEX6105889
MmuEX6081781	MmuEX6107348	MmuEX6105895
MmuEX6081811		MmuEX6105908
MmuEX6081945		MmuEX6105909
MmuEX6081946		MmuEX6106147
MmuEX6082019		MmuEX6106148
MmuEX6082021		MmuEX6106245
MmuEX6082022		MmuEX6106256
MmuEX6082086		MmuEX6106264
MmuEX6082117		MmuEX6106374
MmuEX6082133		MmuEX6106375
MmuEX6082471		MmuEX6106430
MmuEX6082472		MmuEX6106431
MmuEX6082473		MmuEX6106519
MmuEX6082478		MmuEX6106934
MmuEX6082559		MmuEX6107139
MmuEX6082560		MmuEX6107196
MmuEX6082603		MmuEX6107200
MmuEX6082611		MmuEX6107222
MmuEX6082699		MmuEX6107261
MmuEX6083198		MmuEX6107349
MmuEX6083324		MmuEX6107550
MmuEX6083648		MmuEX6107704
MmuEX6083649		
MmuEX6083699		
MmuEX6083704		
MmuEX6083735		
MmuEX6083862		
MmuEX6084131		
MmuEX6084169		
MmuEX6084192		
MmuEX6084221		
MmuEX6084224		
MmuEX6084816		
MmuEX6084905		
MmuEX6085326		
MmuEX6085327		
MmuEX6085477		
MmuEX6085818		
MmuEX6085956		
MmuEX6086075		
MmuEX6086144		
MmuEX6086432		
MmuEX6086478		
MmuEX6086487		
MmuEX6086725		
MmuEX6086850		
MmuEX6087117		
MmuEX6087528		
MmuEX6087553		
MmuEX6087674		
MmuEX6087689		
MmuEX6087836		
MmuEX6087905		
MmuEX6087917		
MmuEX6088132		
MmuEX6088133		
MmuEX6088219		
MmuEX6088259		
MmuEX6088263		
MmuEX6088264		
MmuEX6088329		
MmuEX6088359		
MmuEX6088438		
MmuEX6088439		
MmuEX6088470		
MmuEX6088497		
MmuEX6088516		
MmuEX6088521		
MmuEX6088541		
MmuEX6088548		
MmuEX6088683		
MmuEX6088720		
MmuEX6088804		
MmuEX6088811		
MmuEX6089059		
MmuEX6089061		
MmuEX6089136		
MmuEX6089830		
MmuEX6090195		
MmuEX6090197		
MmuEX6090347		
MmuEX6090353		
MmuEX6090529		
MmuEX6090603		
MmuEX6090682		
MmuEX6091051		
MmuEX6091124		
MmuEX6091261		
MmuEX6091343		
MmuEX6091352		
MmuEX6091541		
MmuEX6091873		
MmuEX6091972		
MmuEX6092245		
MmuEX6092269		
MmuEX6092308		
MmuEX6092314		
MmuEX6092341		
MmuEX6092355		
MmuEX6092384		
MmuEX6092425		
MmuEX6092533		
MmuEX6092559		
MmuEX6092707		
MmuEX6092787		
MmuEX6092842		
MmuEX6092891		
MmuEX6092892		
MmuEX6092936		
MmuEX6092937		
MmuEX6093115		
MmuEX6093196		
MmuEX6093376		
MmuEX6093431		
MmuEX6093432		
MmuEX6093433		
MmuEX6093434		
MmuEX6093512		
MmuEX6093538		
MmuEX6093549		
MmuEX6093560		
MmuEX6093608		
MmuEX6093721		
MmuEX6093830		
MmuEX6094009		
MmuEX6094117		
MmuEX6094137		
MmuEX6094245		
MmuEX6094260		
MmuEX6094261		
MmuEX6094262		
MmuEX6094456		
MmuEX6094517		
MmuEX6094680		
MmuEX6094717		
MmuEX6094845		
MmuEX6094846		
MmuEX6094863		
MmuEX6094864		
MmuEX6095043		
MmuEX6095283		
MmuEX6095320		
MmuEX6095360		
MmuEX6095429		
MmuEX6095632		
MmuEX6095679		
MmuEX6095815		
MmuEX6095907		
MmuEX6095929		
MmuEX6095969		
MmuEX6096044		
MmuEX6096155		
MmuEX6096257		
MmuEX6096259		
MmuEX6096331		
MmuEX6096338		
MmuEX6096509		
MmuEX6096662		
MmuEX6096716		
MmuEX6096805		
MmuEX6096911		
MmuEX6097080		
MmuEX6097174		
MmuEX6097231		
MmuEX6097236		
MmuEX6097269		
MmuEX6097486		
MmuEX6097632		
MmuEX6097972		
MmuEX6098073		
MmuEX6098135		
MmuEX6098180		
MmuEX6098544		
MmuEX6098716		
MmuEX6098783		
MmuEX6098902		
MmuEX6098922		
MmuEX6098957		
MmuEX6098958		
MmuEX6098959		
MmuEX6099105		
MmuEX6099106		
MmuEX6099118		
MmuEX6099180		
MmuEX6099769		
MmuEX6100067		
MmuEX6100460		
MmuEX6100594		
MmuEX6100609		
MmuEX6100832		
MmuEX6100852		
MmuEX6101128		
MmuEX6101142		
MmuEX6101189		
MmuEX6101316		
MmuEX6101322		
MmuEX6101333		
MmuEX6101484		
MmuEX6101531		
MmuEX6101844		
MmuEX6101961		
MmuEX6101981		
MmuEX6102146		
MmuEX6102150		
MmuEX6102183		
MmuEX6102212		
MmuEX6102592		
MmuEX6102802		
MmuEX6102851		
MmuEX6102873		
MmuEX6102924		
MmuEX6103096		
MmuEX6103150		
MmuEX6103161		
MmuEX6103341		
MmuEX6103432		
MmuEX6103434		
MmuEX6103438		
MmuEX6103524		
MmuEX6103557		
MmuEX6103558		
MmuEX6103660		
MmuEX6103671		
MmuEX6103701		
MmuEX6103702		
MmuEX6103703		
MmuEX6103799		
MmuEX6103800		
MmuEX6103892		
MmuEX6104098		
MmuEX6104193		
MmuEX6104288		
MmuEX6104420		
MmuEX6104443		
MmuEX6104446		
MmuEX6104683		
MmuEX6104816		
MmuEX6104929		
MmuEX6104968		
MmuEX6105035		
MmuEX6105232		
MmuEX6105481		
MmuEX6105645		
MmuEX6105672		
MmuEX6105832		
MmuEX6105942		
MmuEX6105947		
MmuEX6106112		
MmuEX6106251		
MmuEX6106368		
MmuEX6106687		
MmuEX6106688		
MmuEX6106689		
MmuEX6106759		
MmuEX6106784		
MmuEX6106813		
MmuEX6107028		
MmuEX6107214		
MmuEX6107437		
MmuEX6107554		
MmuEX6107715		
