C0 (2602 genes)	C1 (2342 genes)	C2 (2363 genes)
MmuEX0014939	MmuEX0015699	MmuEX0016140
MmuEX0015121	MmuEX0015700	MmuEX0016171
MmuEX0015147	MmuEX0015723	MmuEX0016234
MmuEX0015155	MmuEX0015815	MmuEX0016256
MmuEX0015172	MmuEX0015816	MmuEX0016290
MmuEX0015181	MmuEX0015829	MmuEX0016398
MmuEX0015192	MmuEX0015830	MmuEX0016475
MmuEX0015200	MmuEX0015840	MmuEX0016511
MmuEX0015249	MmuEX0016170	MmuEX0016531
MmuEX0015319	MmuEX0016215	MmuEX0016755
MmuEX0015320	MmuEX0016218	MmuEX0016800
MmuEX0015332	MmuEX0016249	MmuEX0016916
MmuEX0015359	MmuEX0016401	MmuEX0016923
MmuEX0015396	MmuEX0016434	MmuEX0016924
MmuEX0015402	MmuEX0016436	MmuEX0016926
MmuEX0015424	MmuEX0016537	MmuEX0016929
MmuEX0015425	MmuEX0016610	MmuEX0016963
MmuEX0015564	MmuEX0016614	MmuEX0016974
MmuEX0015567	MmuEX0016878	MmuEX0017218
MmuEX0015568	MmuEX0016879	MmuEX0017294
MmuEX0015600	MmuEX0017002	MmuEX0017297
MmuEX0015607	MmuEX0017034	MmuEX0017309
MmuEX0015649	MmuEX0017085	MmuEX0017419
MmuEX0015651	MmuEX0017086	MmuEX0017447
MmuEX0015659	MmuEX0017087	MmuEX0017448
MmuEX0015691	MmuEX0017117	MmuEX0017493
MmuEX0015722	MmuEX0017123	MmuEX0017531
MmuEX0015734	MmuEX0017148	MmuEX0017665
MmuEX0015798	MmuEX0017159	MmuEX0017698
MmuEX0015849	MmuEX0017244	MmuEX0017699
MmuEX0015971	MmuEX0017258	MmuEX0017701
MmuEX0016050	MmuEX0017266	MmuEX0017771
MmuEX0016051	MmuEX0017292	MmuEX0017805
MmuEX0016145	MmuEX0017313	MmuEX0017830
MmuEX0016195	MmuEX0017357	MmuEX0017831
MmuEX0016238	MmuEX0017387	MmuEX0017880
MmuEX0016276	MmuEX0017416	MmuEX0017899
MmuEX0016281	MmuEX0017424	MmuEX0017920
MmuEX0016291	MmuEX0017540	MmuEX0017933
MmuEX0016300	MmuEX0017541	MmuEX0018029
MmuEX0016351	MmuEX0017547	MmuEX0018082
MmuEX0016352	MmuEX0017617	MmuEX0018086
MmuEX0016363	MmuEX0017646	MmuEX0018152
MmuEX0016468	MmuEX0017734	MmuEX0018156
MmuEX0016488	MmuEX0017764	MmuEX0018209
MmuEX0016489	MmuEX0017770	MmuEX0018210
MmuEX0016498	MmuEX0017773	MmuEX0018253
MmuEX0016548	MmuEX0017843	MmuEX0018269
MmuEX0016550	MmuEX0017844	MmuEX0018299
MmuEX0016563	MmuEX0017888	MmuEX0018321
MmuEX0016565	MmuEX0017919	MmuEX0018328
MmuEX0016581	MmuEX0017950	MmuEX0018332
MmuEX0016587	MmuEX0017952	MmuEX0018353
MmuEX0016642	MmuEX0017963	MmuEX0018354
MmuEX0016672	MmuEX0017993	MmuEX0018378
MmuEX0016699	MmuEX0017998	MmuEX0018383
MmuEX0016708	MmuEX0018012	MmuEX0018384
MmuEX0016718	MmuEX0018059	MmuEX0018426
MmuEX0016741	MmuEX0018178	MmuEX0018533
MmuEX0016746	MmuEX0018179	MmuEX0018540
MmuEX0016825	MmuEX0018330	MmuEX0018551
MmuEX0016885	MmuEX0018400	MmuEX0018552
MmuEX0016886	MmuEX0018536	MmuEX0018554
MmuEX0016897	MmuEX0018537	MmuEX0018588
MmuEX0016965	MmuEX0018559	MmuEX0018621
MmuEX0017016	MmuEX0018574	MmuEX0018631
MmuEX0017029	MmuEX0018701	MmuEX0018633
MmuEX0017032	MmuEX0018767	MmuEX0018805
MmuEX0017033	MmuEX0018802	MmuEX0018846
MmuEX0017154	MmuEX0018886	MmuEX0018880
MmuEX0017215	MmuEX0018919	MmuEX0018960
MmuEX0017261	MmuEX0018939	MmuEX0018975
MmuEX0017262	MmuEX0018965	MmuEX0018993
MmuEX0017269	MmuEX0018972	MmuEX0018995
MmuEX0017270	MmuEX0018992	MmuEX0019018
MmuEX0017271	MmuEX0019016	MmuEX0019115
MmuEX0017316	MmuEX0019050	MmuEX0019116
MmuEX0017418	MmuEX0019146	MmuEX0019120
MmuEX0017534	MmuEX0019233	MmuEX0019197
MmuEX0017565	MmuEX0019236	MmuEX0019243
MmuEX0017577	MmuEX0019255	MmuEX0019310
MmuEX0017633	MmuEX0019341	MmuEX0019334
MmuEX0017678	MmuEX0019350	MmuEX0019384
MmuEX0017679	MmuEX0019368	MmuEX0019416
MmuEX0017702	MmuEX0019392	MmuEX0019539
MmuEX0017714	MmuEX0019418	MmuEX0019549
MmuEX0017766	MmuEX0019547	MmuEX0019594
MmuEX0017778	MmuEX0019552	MmuEX0019633
MmuEX0017815	MmuEX0019702	MmuEX0019675
MmuEX0017841	MmuEX0019709	MmuEX0019698
MmuEX0017901	MmuEX0019766	MmuEX0019722
MmuEX0017902	MmuEX0019777	MmuEX0019741
MmuEX0017907	MmuEX0019813	MmuEX0019812
MmuEX0017918	MmuEX0019843	MmuEX0019824
MmuEX0017999	MmuEX0019991	MmuEX0019877
MmuEX0018028	MmuEX0020016	MmuEX0019896
MmuEX0018080	MmuEX0020017	MmuEX0019958
MmuEX0018102	MmuEX0020045	MmuEX0020132
MmuEX0018149	MmuEX0020171	MmuEX0020144
MmuEX0018153	MmuEX0020172	MmuEX0020155
MmuEX0018171	MmuEX0020273	MmuEX0020156
MmuEX0018172	MmuEX0020293	MmuEX0020157
MmuEX0018173	MmuEX0020355	MmuEX0020178
MmuEX0018228	MmuEX0020392	MmuEX0020306
MmuEX0018306	MmuEX0020395	MmuEX0020325
MmuEX0018339	MmuEX0020546	MmuEX0020343
MmuEX0018358	MmuEX0020550	MmuEX0020408
MmuEX0018397	MmuEX0020664	MmuEX0020429
MmuEX0018468	MmuEX0021069	MmuEX0020505
MmuEX0018484	MmuEX0021079	MmuEX0021366
MmuEX0018502	MmuEX0021088	MmuEX0021465
MmuEX0018556	MmuEX0021089	MmuEX0021472
MmuEX0018571	MmuEX0021152	MmuEX0021502
MmuEX0018589	MmuEX0021261	MmuEX0021569
MmuEX0018590	MmuEX0021335	MmuEX0021572
MmuEX0018644	MmuEX0021345	MmuEX0021601
MmuEX0018785	MmuEX0021372	MmuEX0021619
MmuEX0018798	MmuEX0021379	MmuEX0021653
MmuEX0018819	MmuEX0021493	MmuEX0021684
MmuEX0018825	MmuEX0021518	MmuEX0021772
MmuEX0018830	MmuEX0021522	MmuEX0021978
MmuEX0018839	MmuEX0021567	MmuEX0022057
MmuEX0018905	MmuEX0021652	MmuEX0022125
MmuEX0018913	MmuEX0021665	MmuEX0022183
MmuEX0018949	MmuEX0021765	MmuEX0022186
MmuEX0018991	MmuEX0021916	MmuEX0022241
MmuEX0019015	MmuEX0021942	MmuEX0022260
MmuEX0019144	MmuEX0021975	MmuEX0022261
MmuEX0019318	MmuEX0022054	MmuEX0022406
MmuEX0019347	MmuEX0022076	MmuEX0022426
MmuEX0019353	MmuEX0022086	MmuEX0022432
MmuEX0019397	MmuEX0022179	MmuEX0022473
MmuEX0019415	MmuEX0022384	MmuEX0022503
MmuEX0019481	MmuEX0022397	MmuEX0022544
MmuEX0019486	MmuEX0022484	MmuEX0022551
MmuEX0019521	MmuEX0022528	MmuEX0022558
MmuEX0019576	MmuEX0022582	MmuEX0022581
MmuEX0019632	MmuEX0022583	MmuEX0022613
MmuEX0019676	MmuEX0022591	MmuEX0022640
MmuEX0019725	MmuEX0022619	MmuEX0023001
MmuEX0019730	MmuEX0022661	MmuEX0023020
MmuEX0019740	MmuEX0022667	MmuEX0023049
MmuEX0019808	MmuEX0022720	MmuEX0023061
MmuEX0019827	MmuEX0022789	MmuEX0023062
MmuEX0019875	MmuEX0022790	MmuEX0023064
MmuEX0019961	MmuEX0022829	MmuEX0023076
MmuEX0019967	MmuEX0022873	MmuEX0023124
MmuEX0019981	MmuEX0022874	MmuEX0023184
MmuEX0020042	MmuEX0022877	MmuEX0023241
MmuEX0020159	MmuEX0022946	MmuEX0023275
MmuEX0020271	MmuEX0023018	MmuEX0023319
MmuEX0020272	MmuEX0023038	MmuEX0023324
MmuEX0020510	MmuEX0023141	MmuEX0023329
MmuEX0020587	MmuEX0023157	MmuEX0023357
MmuEX0020658	MmuEX0023234	MmuEX0023382
