C0 (876 genes)	C1 (904 genes)	C2 (701 genes)	C3 (645 genes)	C4 (809 genes)	C5 (832 genes)
MmuINT0049391	MmuINT0038245	MmuINT0061948	MmuINT0061664	MmuINT0047916	MmuINT0047655
MmuINT0049811	MmuINT0038727	MmuINT0062261	MmuINT0061718	MmuINT0048103	MmuINT0047659
MmuINT0050052	MmuINT0040706	MmuINT0063136	MmuINT0061853	MmuINT0048542	MmuINT0048539
MmuINT0050081	MmuINT0040947	MmuINT0063472	MmuINT0062003	MmuINT0049155	MmuINT0048548
MmuINT0050369	MmuINT0040979	MmuINT0063501	MmuINT0062286	MmuINT0049322	MmuINT0048985
MmuINT0050383	MmuINT0041021	MmuINT0063610	MmuINT0062471	MmuINT0050618	MmuINT0049315
MmuINT0051190	MmuINT0041041	MmuINT0063742	MmuINT0062513	MmuINT0051192	MmuINT0049623
MmuINT0051560	MmuINT0041046	MmuINT0063992	MmuINT0062545	MmuINT0051549	MmuINT0049642
MmuINT0051596	MmuINT0041229	MmuINT0064720	MmuINT0062773	MmuINT0051592	MmuINT0050766
MmuINT0051966	MmuINT0041644	MmuINT0065146	MmuINT0062995	MmuINT0051731	MmuINT0051183
MmuINT0052441	MmuINT0041675	MmuINT0065614	MmuINT0063719	MmuINT0051867	MmuINT0051260
MmuINT0053887	MmuINT0041904	MmuINT0065783	MmuINT0064047	MmuINT0051885	MmuINT0051319
MmuINT0054777	MmuINT0042032	MmuINT0066702	MmuINT0066408	MmuINT0052198	MmuINT0051559
MmuINT0055003	MmuINT0042337	MmuINT0067484	MmuINT0066587	MmuINT0052199	MmuINT0051857
MmuINT0055079	MmuINT0042532	MmuINT0067644	MmuINT0066733	MmuINT0052432	MmuINT0052256
MmuINT0055218	MmuINT0042656	MmuINT0067697	MmuINT0067497	MmuINT0052442	MmuINT0053426
MmuINT0055225	MmuINT0043314	MmuINT0067698	MmuINT0067648	MmuINT0052443	MmuINT0053634
MmuINT0055379	MmuINT0043432	MmuINT0067776	MmuINT0067753	MmuINT0052580	MmuINT0054714
MmuINT0055671	MmuINT0043600	MmuINT0067835	MmuINT0067790	MmuINT0052800	MmuINT0055217
MmuINT0055677	MmuINT0044407	MmuINT0068313	MmuINT0067828	MmuINT0052814	MmuINT0055367
MmuINT0055689	MmuINT0044738	MmuINT0068623	MmuINT0068106	MmuINT0053356	MmuINT0055609
MmuINT0055690	MmuINT0045438	MmuINT0068636	MmuINT0068130	MmuINT0053517	MmuINT0055942
MmuINT0055904	MmuINT0046191	MmuINT0068654	MmuINT0068606	MmuINT0053734	MmuINT0056114
MmuINT0056027	MmuINT0046223	MmuINT0068756	MmuINT0069198	MmuINT0053766	MmuINT0056117
MmuINT0056177	MmuINT0046315	MmuINT0069141	MmuINT0069546	MmuINT0054695	MmuINT0056119
MmuINT0056363	MmuINT0046370	MmuINT0070365	MmuINT0070714	MmuINT0054719	MmuINT0056135
MmuINT0056365	MmuINT0047085	MmuINT0071695	MmuINT0071702	MmuINT0054769	MmuINT0056174
MmuINT0056502	MmuINT0047088	MmuINT0071707	MmuINT0071708	MmuINT0054894	MmuINT0056343
MmuINT0056540	MmuINT0047324	MmuINT0071943	MmuINT0071882	MmuINT0055219	MmuINT0056364
MmuINT0056544	MmuINT0047430	MmuINT0072017	MmuINT0072096	MmuINT0055242	MmuINT0056738
MmuINT0056558	MmuINT0048112	MmuINT0072211	MmuINT0072366	MmuINT0055308	MmuINT0056746
MmuINT0056751	MmuINT0048557	MmuINT0072287	MmuINT0072387	MmuINT0055561	MmuINT0057396
MmuINT0056841	MmuINT0048731	MmuINT0072325	MmuINT0072794	MmuINT0055948	MmuINT0058014
MmuINT0057037	MmuINT0049007	MmuINT0072770	MmuINT0072811	MmuINT0056658	MmuINT0058428
MmuINT0057720	MmuINT0049478	MmuINT0073068	MmuINT0073430	MmuINT0056765	MmuINT0058893
MmuINT0058005	MmuINT0049813	MmuINT0073552	MmuINT0073447	MmuINT0057407	MmuINT0059423
MmuINT0059073	MmuINT0049995	MmuINT0074106	MmuINT0073564	MmuINT0057829	MmuINT0059626
MmuINT0059197	MmuINT0050093	MmuINT0074117	MmuINT0074108	MmuINT0057873	MmuINT0059628
MmuINT0059233	MmuINT0050099	MmuINT0074683	MmuINT0074639	MmuINT0057950	MmuINT0059648
MmuINT0059278	MmuINT0050386	MmuINT0074767	MmuINT0074755	MmuINT0058503	MmuINT0059833
MmuINT0059298	MmuINT0050611	MmuINT0074874	MmuINT0074777	MmuINT0058523	MmuINT0060135
MmuINT0059553	MmuINT0051352	MmuINT0074981	MmuINT0075100	MmuINT0058867	MmuINT0060625
MmuINT0059557	MmuINT0051427	MmuINT0075709	MmuINT0075108	MmuINT0058879	MmuINT0060640
MmuINT0059852	MmuINT0051646	MmuINT0076100	MmuINT0075396	MmuINT0059027	MmuINT0060685
MmuINT0059859	MmuINT0051668	MmuINT0076924	MmuINT0075476	MmuINT0059120	MmuINT0060763
MmuINT0059877	MmuINT0051840	MmuINT0077594	MmuINT0075487	MmuINT0059126	MmuINT0061022
MmuINT0059927	MmuINT0052012	MmuINT0077954	MmuINT0075764	MmuINT0059376	MmuINT0061094
MmuINT0059975	MmuINT0052560	MmuINT0078073	MmuINT0076124	MmuINT0059383	MmuINT0061372
MmuINT0060754	MmuINT0052878	MmuINT0078536	MmuINT0076695	MmuINT0059653	MmuINT0061382
MmuINT0060991	MmuINT0052955	MmuINT0078635	MmuINT0076709	MmuINT0059858	MmuINT0061441
MmuINT0061253	MmuINT0052963	MmuINT0078638	MmuINT0077050	MmuINT0059953	MmuINT0061666
MmuINT0061330	MmuINT0053424	MmuINT0078823	MmuINT0077421	MmuINT0060184	MmuINT0061861
MmuINT0061348	MmuINT0053945	MmuINT0078988	MmuINT0078253	MmuINT0060191	MmuINT0061947
MmuINT0061740	MmuINT0054073	MmuINT0079034	MmuINT0078376	MmuINT0060648	MmuINT0062043
MmuINT0061744	MmuINT0054593	MmuINT0079187	MmuINT0078384	MmuINT0060650	MmuINT0062120
MmuINT0061817	MmuINT0054691	MmuINT0079280	MmuINT0078505	MmuINT0060654	MmuINT0062123
MmuINT0061950	MmuINT0054717	MmuINT0079643	MmuINT0078808	MmuINT0060693	MmuINT0062193
MmuINT0062508	MmuINT0054829	MmuINT0079819	MmuINT0079286	MmuINT0060698	MmuINT0062282
MmuINT0062530	MmuINT0055088	MmuINT0079958	MmuINT0079628	MmuINT0060984	MmuINT0062467
MmuINT0063112	MmuINT0055668	MmuINT0080674	MmuINT0080286	MmuINT0061254	MmuINT0063135
MmuINT0063118	MmuINT0056417	MmuINT0081631	MmuINT0081712	MmuINT0061286	MmuINT0063193
MmuINT0063147	MmuINT0056539	MmuINT0081847	MmuINT0082060	MmuINT0061364	MmuINT0063250
MmuINT0063399	MmuINT0056591	MmuINT0082024	MmuINT0082649	MmuINT0061378	MmuINT0063264
MmuINT0063411	MmuINT0056771	MmuINT0082049	MmuINT0083041	MmuINT0061677	MmuINT0063480
MmuINT0063453	MmuINT0056787	MmuINT0082753	MmuINT0083271	MmuINT0062200	MmuINT0063537
MmuINT0063492	MmuINT0057519	MmuINT0082955	MmuINT0083862	MmuINT0062327	MmuINT0063568
MmuINT0063546	MmuINT0057823	MmuINT0083284	MmuINT0084491	MmuINT0063206	MmuINT0063574
MmuINT0064383	MmuINT0057944	MmuINT0083304	MmuINT0084526	MmuINT0063238	MmuINT0063613
MmuINT0064580	MmuINT0057948	MmuINT0083524	MmuINT0084754	MmuINT0063305	MmuINT0063639
MmuINT0064597	MmuINT0058124	MmuINT0083790	MmuINT0084756	MmuINT0063449	MmuINT0063693
MmuINT0064676	MmuINT0058279	MmuINT0083864	MmuINT0085049	MmuINT0063487	MmuINT0063993
MmuINT0064712	MmuINT0058430	MmuINT0084631	MmuINT0085710	MmuINT0063519	MmuINT0064669
MmuINT0065767	MmuINT0058768	MmuINT0084746	MmuINT0086087	MmuINT0063555	MmuINT0064711
MmuINT0066132	MmuINT0058949	MmuINT0084750	MmuINT0086135	MmuINT0064279	MmuINT0064939
MmuINT0066259	MmuINT0059348	MmuINT0084808	MmuINT0086571	MmuINT0065564	MmuINT0065176
MmuINT0066335	MmuINT0059534	MmuINT0085029	MmuINT0086674	MmuINT0066168	MmuINT0065185
MmuINT0066341	MmuINT0059912	MmuINT0085033	MmuINT0086892	MmuINT0066260	MmuINT0065188
MmuINT0066343	MmuINT0060606	MmuINT0086446	MmuINT0087088	MmuINT0066433	MmuINT0066332
MmuINT0066429	MmuINT0060697	MmuINT0086754	MmuINT0087217	MmuINT0066472	MmuINT0066434
MmuINT0066497	MmuINT0060711	MmuINT0086785	MmuINT0087478	MmuINT0066663	MmuINT0066556
MmuINT0066507	MmuINT0060959	MmuINT0086793	MmuINT0087616	MmuINT0067988	MmuINT0066599
MmuINT0066586	MmuINT0060960	MmuINT0087103	MmuINT0087727	MmuINT0068165	MmuINT0066990
MmuINT0066746	MmuINT0061074	MmuINT0087349	MmuINT0089276	MmuINT0068638	MmuINT0067215
MmuINT0066828	MmuINT0061109	MmuINT0087680	MmuINT0091476	MmuINT0068662	MmuINT0067346
MmuINT0066939	MmuINT0061161	MmuINT0087745	MmuINT0091941	MmuINT0068664	MmuINT0067471
MmuINT0067151	MmuINT0061339	MmuINT0087746	MmuINT0092056	MmuINT0069262	MmuINT0067558
MmuINT0067729	MmuINT0061717	MmuINT0089003	MmuINT0093000	MmuINT0069542	MmuINT0067671
